hall_code,name,code,era,dynasty,category,sub_category,material,craft,usage_desc,short_intro,deep_intro,core_value,watch_points,story_points,detail_points,kid_points,deep_points,historical_value,art_value,cultural_value,shape_desc,pattern_elements,symbolism,style_tags,color_palette,interesting_points,related_people,related_events,related_exhibits_hint,creative_keywords,poster_copy_seed,image_prompt_seed,keywords,is_featured,recommended_priority,recommended_duration_min,image_url
zenghouyi,曾侯乙铜鉴缶,tong_jianfou,战国,战国早期,礼器/生活器,鉴缶组合器,青铜,铸造与大型复合器形,贮水与礼仪相关器用,它把礼仪场合中的生活器用做成了很有体量感的青铜器。,看它时可以先感受器形分量，再想为什么古人会把与生活场景相关的器具也做得这样庄重。它适合把“礼制”延伸到“贵族生活方式”的层面。,它让曾侯乙展区不只呈现礼乐，也呈现高等级生活器用的制度化样子。,先看体量；再看器口和腹部转折；想想它为什么兼具生活与礼仪气质。,它像把贵族生活中的讲究直接铸进了一件大型青铜器里。,注意耳部、口沿和整体比例；感受“用具也有身份”的气质。,可以把它想成古人非常讲究的大型金属器皿。,适合连接尊盘与铜鼎，理解礼器和生活器用并不完全分离。,它反映战国贵族生活器用中的制度感与等级感。,厚重器形与简洁转折让它有强烈分量感。,它说明楚地贵族文化既讲礼仪，也讲生活场景中的身份表达。,器体厚重、口沿开阔、组合感强,器口、腹部转折、耳部、器足,礼仪生活、贵族日常、秩序场景,"厚重,体量感,礼仪气氛,青铜审美","古铜,墨绿,深褐",它既有礼器气质，又带着生活器用的场景感，能把贵族生活想象具体化。,曾侯乙,战国贵族生活,"青铜尊盘,曾侯乙编钟,铜鼎","铜鉴缶,大型青铜,贵族生活,器形体量,古意",一件铜鉴缶，把贵族生活的讲究铸成了可见的分量。,以曾侯乙铜鉴缶为核心，突出大型青铜器的体量、礼仪生活气质与厚重古铜色。,"铜鉴缶,青铜,贵族生活,礼器,大型器形",1,84,5,
zenghouyi,曾侯乙建鼓座,jiangzuo_gu,战国,战国早期,乐器/礼器,鼓座,木/青铜,构件制作与礼乐陈设,礼乐演奏与场域陈设,它把礼乐系统里的空间感和场域感补了出来。,如果只看编钟和编磬，你容易把礼乐理解成“几件会发声的器物”。建鼓座则提醒你，礼乐还需要空间布置、陈设关系和正式场合的整体配置。,它帮助展区从“看单件”走向“看场域”。,先看支撑结构；再想它在礼乐空间中如何被放置；重在场域想象。,它像礼乐舞台的一部分，让你想见古代正式场合的空间秩序。,注意承托与支撑关系；感受陈设感强于单体华丽。,它像古代大型鼓的专用底座，是舞台上的一部分。,看它能把礼乐展区从声音器物扩展到空间配置。,它反映先秦正式礼乐场合的陈设系统。,结构性强，观看重点在支撑与空间想象。,它说明礼乐文明强调“场”而不只强调“物”。,支撑结构明显、适合陈设、强调场域感,支架、承托构件、鼓面关系,仪式空间、礼乐场域、正式场合,"礼乐空间,陈设感,庄重,节奏","木褐,朱红,古铜",它不一定最抢眼，但很能说明礼乐不是孤立器物，而是完整空间陈设。,曾侯乙,先秦礼乐文明,"曾侯乙编钟,曾侯乙编磬,青铜尊盘","建鼓座,礼乐空间,陈设,古代舞台,仪式感",当建鼓座出现，礼乐开始从器物走向场域。,以曾侯乙建鼓座为核心，突出支撑结构、礼乐陈设与古代仪式空间感。,"建鼓座,礼乐陈设,鼓,曾侯乙,场域",1,76,4,
zenghouyi,曾侯乙青铜盖豆,gai_dou,战国,战国早期,礼器,豆,青铜,铸造,盛放与礼仪相关器用,它让礼器系统从宏大器物落到更细致的宴飨器用。,看它时不妨留意“盖”和“豆”的组合关系，以及为什么这类器物能让礼仪生活显得更完整。它是理解礼器系统细部层级的好补充。,它让礼器观看从宏大、庄重进一步落到具体而细密的器用结构。,先看盖与器身关系；再想它在宴飨中的位置；适合和尊盘连看。,它像礼仪餐桌上的小秩序，把讲究落到了具体动作上。,注意盖钮、边缘线和圈足；观看重点在“精细秩序”。,可以把它想成古代正式场合里很讲究的带盖器皿。,适合补足尊盘、鼎之外的礼器细节层次。,它反映战国礼仪生活中的细分器用。,比例端正，细节不张扬但很耐看。,它说明秩序感也会进入宴飨和器用细节。,器身端正、盖与盘关系清楚、体量适中,盖钮、器腹、圈足、边缘线条,宴飨秩序、礼仪细节、器用讲究,"精致,礼器,器用系统,克制","古铜,深棕,墨绿",它体量不算最大，但很适合把礼器系统从“大件”细化到更具体的器用层面。,曾侯乙,战国宴飨礼仪,"青铜尊盘,铜鼎,曾侯乙编钟","盖豆,礼器细节,宴飨,青铜器用,秩序",一件盖豆，把礼仪生活的细密讲究稳稳托住。,以青铜盖豆为主视觉，突出器盖关系、圈足与礼器系统中的细密秩序。,"盖豆,礼器,宴飨,青铜,楚文化",1,72,4,
chu_culture,虎座鸟架鼓,huzuo_niaojia_gu,战国,战国中晚期,礼乐/雕塑,鼓,木/漆,雕刻、彩绘与组合陈设,礼乐陈设与视觉象征,它让楚文化不只停留在文物名词，而是一下子有了神秘又鲜活的视觉形象。,你可以先看它夸张的造型，再想为什么楚文化会喜欢把动物、乐器和仪式感组合在一起。它不是单纯好看，而是把楚地审美和想象力同时做了出来。,它是理解楚文化视觉气质和想象力的重要入口。,先看整体造型；再看虎与鸟的组合；注意它的戏剧张力。,它像楚文化里会发声的神话场景，让展区瞬间变得有戏。,注意支撑结构、彩绘感和动物形象如何共同服务鼓的陈设。,像一件会讲神话故事的大型古代乐器装置。,它适合把楚文化从文字和器用拉到更强的图像想象层面。,它反映楚文化礼乐场合中的独特造型语言和精神气质。,夸张造型、动物意象与彩绘装饰共同形成强烈视觉冲击。,它是楚文化浪漫想象与礼仪表达并存的典型例子。,立体组合、动物形支撑、视觉张力强,虎形底座、鸟形支架、鼓面关系、彩绘纹样,通灵想象、楚地审美、礼乐与神话,"楚风,神秘,张力,雕塑感","朱红,黑漆,金黄",它很抓眼球，特别适合把楚文化“浪漫、奇诡、会讲故事”的一面直接立起来。,楚地工匠,楚文化礼乐与神话想象,"楚式漆器,楚简,楚式玉佩","虎座鸟架鼓,楚风神秘,雕塑,礼乐,动物意象",一面鼓、一只虎、一只鸟，楚文化的神秘张力一下子立了起来。,以虎座鸟架鼓为核心，突出虎与鸟的组合造型、朱黑彩绘、楚文化神秘气质和戏剧张力。,"虎座鸟架鼓,楚文化,彩绘木雕,礼乐,神秘感",1,95,6,
chu_culture,彩绘木雕小座屏,mu_diao_zuoping,战国,战国中晚期,陈设/工艺,座屏,木/漆,木雕、彩绘与拼接,陈设与空间分隔,它把楚文化里的居住空间审美轻轻带了出来。,如果说楚简偏向文字、玉佩偏向身体、漆器偏向生活器用，那么座屏更像把“空间本身”也纳入了审美。它适合帮助路线变得更有生活感。,它说明楚文化的讲究不仅在器物，也在空间陈设。,先看屏面纹样；再看支撑关系；把它想进古代室内空间里。,它像一小块被留下来的古代室内美学。,注意边框、屏面和彩绘层次；重在陈设感。,可以把它想成古人房间里的装饰小屏风。,它有助于把楚文化从单件文物推向整体生活空间。,它反映战国楚地室内陈设与生活讲究。,体量虽小，但纹样和彩绘共同构成柔和的装饰美。,它说明楚地审美会进入居室、陈设和日常空间布局。,体量适中、装饰感强、适合室内陈设,屏面纹样、边框、支撑脚,空间讲究、审美修饰、生活品位,"陈设感,细腻,楚风,生活美学","朱红,墨黑,金褐",它能把古人的居住空间和日常审美想象得更具体，不只停留在“看器物”。,楚地工匠,楚地生活审美,"楚式漆器,楚式玉佩,楚简","座屏,楚风陈设,彩绘木雕,空间美学,生活感",一件小座屏，把楚人的生活空间审美悄悄留下来。,以彩绘木雕小座屏为核心，突出朱黑彩绘、室内陈设感和楚文化细腻生活审美。,"座屏,彩绘木雕,楚文化,陈设,审美",1,79,4,
chu_culture,楚式镇墓兽,zhenmushou,战国,战国中晚期,雕塑/信仰,镇墓兽,木/漆,雕刻与彩绘,丧葬与精神守护象征,它让你看到楚文化并不只有审美细腻，也有很强的精神世界想象。,镇墓兽常常不靠精致器形取胜，而靠气势和想象力抓住你。它适合和虎座鸟架鼓连看，理解楚文化为什么总带一点神秘与戏剧性。,它把楚文化中的精神世界和丧葬观念变成了可直接观看的形象。,先看整体气势；再看表情和体态；重在感受神秘感。,它像一个来自楚地想象世界的守护者。,注意兽首、肢体和整体站姿；不要只看细节，要看气场。,像古人想象出来的守护怪兽。,适合连接礼乐、信仰和丧葬观念。,它反映战国楚地对死后世界与守护力量的理解。,造型夸张、情绪强烈，具有雕塑般的视觉冲击。,它体现了楚文化浪漫而神秘的精神气质。,兽形夸张、立体感强、具有守护意味,兽首、四肢、彩绘痕迹、体态,守护、通灵、死后世界想象,"神秘,力量,想象力,楚风","黑漆,朱红,土黄",它能把楚文化里偏神秘、偏想象的那条线一下子拉出来，很适合形成展区记忆点。,楚地工匠,楚地丧葬观念,"楚简,虎座鸟架鼓,楚式玉佩","镇墓兽,楚风神秘,守护者,丧葬想象,雕塑感",一只镇墓兽，把楚人的精神世界和想象力直接立在你面前。,以楚式镇墓兽为核心，突出神秘守护感、夸张造型和楚文化精神世界的戏剧性。,"镇墓兽,楚文化,丧葬,神秘,雕塑",1,83,4,
chu_culture,凤纹漆盒,fengwen_qihe,战国,战国中晚期,漆木器,漆盒,木胎与漆层,髹漆与彩绘纹饰,盛放与陈设,它把楚文化的纹样美感和生活器用合在了一起。,看它时可以把重心放在表面纹样和器形关系上。它不像大器物那样靠体量，而是靠色彩、光泽和图案把人留住，是楚式生活美学的很直观例子。,它让楚文化的装饰语言落到具体可感的生活器物上。,先看凤纹；再看盒盖与器身关系；重在表面层次。,它像一只把楚风图案悄悄收进日常里的小盒子。,注意纹样走向和漆层光泽；适合近距离看。,像古人装小东西的漂亮盒子。,适合和玉佩、漆器、座屏连看，形成楚风生活线。,它反映战国楚地装饰审美进入日常器用。,纹样、光泽和器形共同形成轻盈华美的表面美。,它说明楚地审美不仅宏大，也非常擅长在小器物上做文章。,器形轻巧、开合明确、适合近看,凤纹、边框纹样、漆层光泽、盒盖关系,吉祥想象、精致生活、楚风装饰,"细腻,楚风,纹样感,生活美学","朱红,黑漆,暗金",它很适合补出楚文化里“把纹样做到生活器物上”的那种轻盈讲究。,楚地工匠,楚地生活美学,"楚式漆器,楚式玉佩,彩绘木雕小座屏","凤纹漆盒,纹样,楚风,朱黑配色,精致生活",一只漆盒，把楚风纹样和日常讲究轻轻收拢在掌心。,以凤纹漆盒为核心，突出凤纹装饰、朱黑配色、漆层光泽和楚文化的细腻生活美学。,"漆盒,凤纹,楚文化,漆器,生活审美",1,75,4,
goujian_sword,青铜矛,tong_mao,春秋战国,春秋晚期,兵器,矛,青铜,铸造与锋部处理,作战与仪仗,它让你把“名剑”重新放回更大的兵器系统里去理解。,如果说越王勾践剑更像传奇中心，那么青铜矛更像常规武备的代表。它适合告诉观众：古代兵器文明不只有最闪耀的那一件。,它补足兵器专题的系统性和日常军备感。,先看锋部；再想它和剑的差异；重在功能对照。,它像把战争从传奇拉回到真实装备配置。,注意锋线、脊线和銎部；观看重点在功能感。,像古代军队里更常见的一种长柄武器。,适合与剑、戈连看，形成兵器三角对照。,它反映春秋战国兵器配置和作战需求。,线条克制，审美来自直接的功能形态。,它说明兵器既是战场工具，也是身份和组织的一部分。,矛身修长、尖锋明确、功能导向强,锋部、矛脊、銎部,战争、武备、身份显示,"冷峻,兵器感,功能性,力量","冷青铜,暗绿,深灰",它能把名剑的传奇感拉回更普遍的武备体系，让兵器专题不只剩一件明星文物。,楚国武士,春秋争霸,"越王勾践剑,青铜戈,铜鼎","青铜矛,兵器线条,冷峻,战争,功能美",一支青铜矛，把兵器的真实功能感稳稳摆了出来。,以青铜矛为核心，突出锋线、冷青铜质感、战争功能与兵器系统中的常规力量。,"青铜矛,兵器,楚文化,春秋战国,力量",1,72,4,
goujian_sword,青铜戟,tong_ji,春秋战国,战国,兵器,戟,青铜,复合铸造与装配,作战与武备展示,它让兵器不只剩下单一锋线，而是出现更复杂的武器结构。,看它时可以留意不同构件如何共同服务作战用途。它适合把兵器工艺从单件传奇推进到“结构设计”的层面。,它强化了兵器专题中的结构复杂度和工艺层次。,先看整体结构；再看不同锋部的关系；重在构件逻辑。,它像古代武器里的“复合型选手”。,注意戟身与援部关系；不要只看锋利，要看结构。,像把几种武器功能合在一起的古代长兵器。,能帮助观众理解兵器为什么会朝更复杂方向发展。,它反映战国武备结构和军事技术分化。,结构外伸、功能分区明显，形成独特机械式美感。,它说明战争文化推动了器物结构创新。,构件关系明确、武器结构复杂、线条外伸,戟身、援部、内部结构、连接处,武备体系、权力显示、战场组织,"结构感,武备,冷感,功能美","冷青铜,铁灰,暗绿",它结构更复杂，适合把兵器观看从“锋利”提升到“组合功能”。,楚国武士,战国军事文化,"青铜矛,越王勾践剑,青铜戈","青铜戟,复合兵器,结构感,冷峻,战国武备",一件青铜戟，把兵器的复杂结构和战场逻辑直接摊开。,以青铜戟为核心，突出复合结构、冷青铜色调和战国武备的技术感。,"青铜戟,兵器,战国,楚文化,武备",1,70,4,
goujian_sword,剑格饰件,jian_ge,春秋战国,战国,兵器饰件,剑格,青铜/玉,铸造或琢磨与装饰处理,兵器构件与装饰,它把兵器的精致感从整剑进一步压缩到细部构件里。,很多人看兵器只看整体线条，但剑格这样的部件更适合细看。它说明古代兵器不是只求能打，还要兼顾身份与审美。,它补强了兵器专题的细节工艺层次。,先看体量；再看纹样与边缘处理；重在“细部有戏”。,它像一件把王权讲究藏进细节的小零件。,适合近看；留意连接部位和装饰处理。,像古代宝剑上的一个很讲究的小部件。,能把兵器从大件观看拉到工艺细节层面。,它反映兵器制造中的精细装配和等级讲究。,小件但精致，审美集中在细部收束和纹样。,它说明王权表达常常藏在不显眼的构件里。,体量较小、结构紧凑、细节导向,边缘线、装饰纹样、连接部位,身份讲究、兵器装饰、权力细节,"精致,小件,装饰感,工艺细节","青铜灰,温白,墨黑",它能提醒观众：兵器的“精致”往往藏在这些小构件里。,越王勾践,兵器装饰与王权表达,"越王勾践剑,青铜矛,青铜戈","剑格,细节工艺,兵器装饰,王权,小件美学",一个剑格，也能把兵器的精致和身份讲究悄悄说清。,以剑格饰件为核心，突出细节纹样、材质对比和兵器小构件中的精致工艺。,"剑格,兵器饰件,装饰,王权,精致",1,66,3,
goujian_sword,青铜箭镞,jian_zu,春秋战国,战国,兵器,箭镞,青铜,批量铸造与刃部修整,远射作战,它把兵器观看从传奇个体拉回到成批制造的战争现实。,箭镞体量很小，却特别适合讲“系统”——战争不仅依靠名剑，也依靠大量标准化的武备。它能让兵器专题更完整。,它为兵器叙事补上组织化与规模化的一面。,先看尖锋和重复性；再想它在成批军备中的位置。,它像战争机器里最安静、却最普遍的一环。,重在看“很多同类件”带来的系统感。,就是古代箭头，但很能说明战争不是只靠一把名剑。,适合和越王勾践剑形成“明星文物 vs 系统军备”的对照。,它反映战国时期远程武备和批量生产逻辑。,简洁直接，审美来自重复和锋尖比例。,它说明国家竞争也体现在标准化武备能力上。,体量小、锋尖明确、重复性强,锋尖、翼部、銎部,军备规模、远射能力、组织化战争,"简洁,功能性,系统感,冷感","冷青铜,深灰,锈绿",它小，但很能说明战争已经不仅是英雄对决，也和成套军备有关。,楚国武士,战国战争,"青铜矛,青铜戟,越王勾践剑","箭镞,批量武备,战争系统,锋尖,青铜",一枚枚箭镞，把战争从传奇拉回到真正的军备系统。,以青铜箭镞为核心，突出小型锋尖、重复排列和战国武备的规模感。,"箭镞,兵器,战国,武备,批量制造",1,62,3,
bronze,青铜簋,tong_gui,先秦,西周至春秋,礼器,簋,青铜,铸造,盛食与礼仪场合,它让青铜礼器系统从鼎扩展到更完整的器类结构。,如果鼎像礼器中的中轴，那么簋更像系统里的重要成员。它很适合说明礼器为什么总以“成套”方式被理解。,它让青铜礼器叙事更完整，而不是只靠鼎撑起全部印象。,先看双耳和腹部；再想它和鼎在礼器系统中的不同位置。,它像礼器系统里低调但不可缺的一员。,注意圆润腹部和双耳；感受稳重而不压迫的气质。,像古代正式场合里的专用盛食器。,适合和鼎、尊盘形成礼器组看。,它反映先秦礼仪制度中的分工器类。,圆润腹部和双耳构成柔和而稳定的器形美。,它说明礼器秩序依赖成套分工，而不是单件崇拜。,腹部圆润、双耳明显、器身稳定,双耳、器腹、圈足、口沿,祭祀秩序、分食制度、礼仪规范,"礼器,圆润,庄重,制度感","古铜,深绿,土褐",它很适合帮助观众建立“礼器不是只有鼎”的认知。,先秦贵族,祭祀礼制,"铜鼎,青铜尊盘,青铜壶","簋,礼器系统,青铜圆腹,双耳,祭祀",一件青铜簋，让礼器系统不再只剩一只鼎。,以青铜簋为核心，突出圆润腹部、双耳结构和先秦礼器系统中的成套秩序。,"簋,礼器,青铜,祭祀,先秦",1,74,4,
bronze,青铜壶,tong_hu,先秦,春秋战国,礼器/酒器,壶,青铜,铸造与表面处理,盛酒与宴飨场景,它让宴飨场景不只停留在抽象礼仪，而出现更具体的酒器对象。,壶这类器物很适合用来讲“礼仪和生活如何交叠”。它既不脱离场景，又带着明确的等级和规制意味。,它把青铜器观看从祭祀延伸到宴飨场合。,先看颈部与腹部比例；再想它在宴飨中的角色。,它像把古代正式席面上的饮酒秩序拎了出来。,注意器口、颈部和腹部线条；重在器用场景。,像古代装酒的大壶，但很正式。,适合连接尊盘、簋，补足宴飨器用系统。,它反映先秦宴飨礼仪和酒器制度。,线条较流动，在庄重中带一点器用的轻巧。,它说明礼仪并不抽象，而要借由具体器用来完成。,颈部明显、器腹饱满、提梁或耳部可能突出,口沿、颈部、腹部线条、耳部,宴飨秩序、饮酒礼仪、器用讲究,"器用感,礼仪,端庄,流线","古铜,墨绿,深棕",它能把礼器系统中的“饮”这条线补得更完整。,先秦贵族,宴飨礼仪,"青铜尊盘,青铜簋,铜鼎","青铜壶,酒器,宴飨,流线,礼仪",一只青铜壶，把正式场合里的饮酒秩序悄悄立起来。,以青铜壶为核心，突出器颈线条、青铜流光和宴飨礼仪中的器用秩序。,"青铜壶,酒器,宴飨,青铜,礼仪",1,71,4,
bronze,青铜罍,tong_lei,先秦,商周,礼器/酒器,罍,青铜,铸造,盛酒与礼仪器用,它把商周礼仪场合中的酒器分量直接压到你面前。,罍比壶更厚重，也更适合建立“分量感”。它能帮你感受青铜器为什么不仅是器物，还是场合氛围的一部分。,它强化了青铜酒器的体量感和礼仪压场感。,先看体量；再看肩腹关系；感受“压得住场”的气质。,它像一件站着就能让场合变庄重的器物。,注意肩部转折与口沿；观看重点在分量。,像古代宴会上的大号装酒器。,适合和壶、尊盘一起看酒器系统差异。,它反映商周酒器在礼制中的重要位置。,丰厚器身与收束颈部形成稳重而强势的形体感。,它说明饮酒礼仪也有鲜明的等级和制度面。,器身丰厚、颈部收束、体量感强,口沿、肩部、腹部、足部,礼仪饮酒、秩序场合、权力分量,"厚重,器用,商周气息,礼仪","古铜,深绿,土黄",它很有分量感，适合让观众感受到商周青铜酒器的“压场”能力。,先秦贵族,祭祀与宴飨礼制,"青铜壶,铜鼎,青铜尊盘","青铜罍,厚重酒器,商周,礼仪分量,古铜",一件青铜罍，把商周礼仪场合的分量稳稳压在你面前。,以青铜罍为核心，突出厚重器身、商周古铜色调和礼仪酒器的压场气质。,"青铜罍,酒器,礼器,商周,青铜文明",1,69,4,
bronze,青铜甗,tong_yan,先秦,商周,礼器/炊器,甗,青铜,铸造与分层器形,蒸煮与礼仪场合相关器用,它把青铜器观看从庄重礼器扩展到更具体的饮食器用结构。,甗很适合讲“结构和用途”。看它时可以先理解上下分层，再想为什么饮食器用也会进入礼制系统。它让青铜文明更接近日常场景。,它让青铜器叙事从礼器延伸到饮食器用系统。,先看上下分层；再想它如何服务蒸煮；重在用途逻辑。,它像古代正式场合里的“蒸锅”，但背后连着秩序。,注意上下部件关系；适合讲结构。,可以把它想成古代很高级的蒸锅。,适合和鼎、簋连看，理解礼制中的饮食器用。,它反映先秦饮食礼制和器用分工。,分层结构形成非常清楚的功能美和秩序感。,它说明古人的礼制会进入饮食动作本身。,上下分层、结构明确、器用逻辑强,上甑下鬲、器口、腹部、足部,饮食秩序、礼制生活、器用分工,"器用系统,制度感,分层结构,青铜","古铜,深褐,暗绿",它能让观众意识到古代礼制不只靠祭器酒器，也离不开饮食器用体系。,先秦贵族,饮食礼制,"铜鼎,青铜簋,青铜壶","甗,分层炊器,青铜,饮食礼制,结构美",一件青铜甗，让饮食器用也进入了青铜文明的制度现场。,以青铜甗为核心，突出上下分层结构、器用逻辑和先秦饮食礼制的制度感。,"甗,炊器,青铜,饮食礼制,先秦",1,67,4,
lacquer,彩绘漆耳杯,qi_erbei,战国,战国中晚期,漆木器,耳杯,木胎与漆层,髹漆与彩绘,饮食与宴飨器用,它把楚地生活美学落到很具体、很可感的饮食动作里。,耳杯并不靠大体量取胜，而是靠“拿在手里会是什么感觉”的想象。它很适合把漆木器展区变得更接近日常、更有人味。,它让漆木器展区从抽象审美变成可想象的生活动作。,先看双耳；再看器身轻巧感；注意拿取与饮用想象。,它像一件把古代宴坐场景轻轻端出来的小器物。,注意耳部和口沿；观看重心在轻巧与表面光泽。,像古人喝东西用的小杯子，但做得很漂亮。,适合连接漆盒、漆盘、漆木豆，形成完整生活器线。,它反映战国楚地宴飨与饮食器具的审美化。,双耳外伸与朱黑配色共同构成非常灵巧的视觉效果。,它说明审美会进入手持动作和饮食场景。,双耳外伸、器身浅而轻巧,双耳、口沿、漆层光泽、彩绘纹样,宴飨生活、细腻讲究、器用审美,"轻盈,生活感,楚风,细腻","朱红,黑漆,暗金",它很适合让人想象古代饮酒、宴坐这些更轻松的场景。,楚地工匠,楚地生活美学,"楚式漆器,凤纹漆盒,漆木豆","耳杯,朱黑配色,生活器具,轻盈,楚风",一只漆耳杯，把古人宴坐时的轻巧讲究轻轻端了出来。,以彩绘漆耳杯为核心，突出双耳造型、朱黑配色、漆层光泽和楚地宴飨生活感。,"耳杯,漆器,楚文化,饮食器具,朱黑配色",1,77,4,
lacquer,漆盘,qi_pan,战国,战国中晚期,漆木器,盘,木胎与漆层,髹漆成型,承放与陈设,它把生活器用的讲究落实到最日常、最基础的一类器具上。,漆盘这类器物不一定最抢眼，却最适合讲“生活秩序”。它和耳杯、豆连看时，会让漆木器展区从单件观赏变成真实的生活场景。,它帮助漆木器展区从明星件扩展到完整器用系统。,先看平面开阔感；再看边缘和光泽；重在承放场景。,它像古人日常动作里最安静的一层审美。,注意盘沿与色彩层次；看光泽比看花纹更重要。,像古代装东西的盘子，但颜色和质感很讲究。,适合作为生活器用系统的中间连接件。,它反映战国时期漆木器在日常承放中的广泛使用。,大面积平面与边缘收束形成简洁克制的表面美。,它说明日常动作也会被审美化。,器面开阔、边缘收束、浅盘形,盘沿、漆层、色彩层次、边缘线,生活秩序、承放动作、日常讲究,"简洁,生活器用,平面美,细腻","朱红,黑漆,木褐",它简单，但很适合建立“古人连放东西的器具都要做得讲究”的印象。,楚地工匠,战国日常器用,"漆木豆,彩绘漆耳杯,楚式漆器","漆盘,平面美,生活器用,朱黑,光泽",一只漆盘，把古人的日常秩序静静托了起来。,以漆盘为核心，突出简洁盘形、朱黑光泽和日常器用中的安静审美。,"漆盘,生活器用,楚文化,漆器,朱黑",1,65,3,
lacquer,漆奁,qi_lian,战国,战国中晚期,漆木器,奁,木胎与漆层,髹漆与细部打磨,收纳与陈设,它让楚地生活美学从公共场景进一步落到个人收纳和居室细节。,奁这类器具常常和女性化、私密化、室内化的生活想象联系在一起。它能让路线里的生活感更完整、更细腻。,它把楚文化里的个人生活与室内讲究带到台前。,先看盒盖和体量；再想它在室内空间里的使用。,它像古人把细碎生活收拢起来的一只小盒。,注意边角处理和开合关系；重在小巧与细密。,像古人放小物件的漂亮盒子。,适合和玉佩、漆盒、座屏串联，形成“个人生活线”。,它反映战国楚地室内生活与收纳器具的审美化。,小巧而规整，审美来自比例和表面处理。,它说明楚地生活美学也存在于私人空间和细碎物件中。,器身规整、开合关系清晰、体量小巧,盒盖、边角、漆层、内部空间,收纳秩序、个人讲究、室内生活,"精巧,收纳,室内感,细腻","黑漆,朱红,暗金",它很适合把“个人生活的讲究”带到漆木器展区里。,楚地工匠,楚地生活审美,"凤纹漆盒,楚式玉佩,彩绘木雕小座屏","漆奁,收纳,室内生活,细腻,楚风",一只漆奁，把楚人的个人生活讲究悄悄收进室内一角。,以漆奁为核心，突出小巧开合关系、黑漆光泽和楚文化室内生活的细腻美感。,"漆奁,收纳器,楚文化,漆器,生活美学",1,64,3,
lacquer,漆勺,qi_shao,战国,战国中晚期,漆木器,勺,木胎与漆层,髹漆成型,取食与盛取,它把古代生活真正落到了“手里正在做什么”这种细节上。,漆勺不会成为展厅里最闪亮的明星，但它会让你的路线更像真实生活。因为正是这些小器具，才把宏大的历史拉回到了可想象的日常动作。,它给整条路线补上一层生活温度和动作感。,先看柄部和勺面；再想它在取食场景中的动作。,它像历史里最轻的一笔，却让生活真正动起来。,注意轻巧比例；重在“可使用”的感觉。,像古人吃饭用的小勺子。,适合和盘、耳杯、豆一起收束生活器线。,它反映战国时期漆木小型器具在日常生活中的实际使用。,比例轻巧，表面处理克制，审美非常安静。,它提醒人们，生活细节同样是文化的组成部分。,柄部细长、勺面简洁、便于持握,勺面、柄部、边缘线、漆层,日常动作、细小讲究、生活温度,"日常,朴素,轻巧,生活感","木褐,黑漆,朱红",它虽小，却特别适合告诉观众：历史并不只由大件文物构成。,楚地日常使用者,战国生活器用,"漆盘,漆木豆,彩绘漆耳杯","漆勺,日常动作,轻巧,生活温度,漆木",一把漆勺，让历史从大器物回到真正会发生的日常动作。,以漆勺为核心，突出轻巧比例、木胎漆层和古代日常动作中的温和生活感。,"漆勺,生活器具,楚文化,日常,漆木器",1,58,3,
