exhibit_code,cover_image_url,detail_image_url_1,detail_image_url_2,image_caption,source_name,source_url,copyright_note,audio_script,graph_summary
tong_jianfou,https://lh3.googleusercontent.com/ci/AL18g_RtzRW2qt5lXNpWqZNd7JjMlhnfBmJ_gUG4B932fgNoBJ6ZFmn4xHNavQIBf5dZ1RUSRKtacQ,,,曾侯乙铜鉴缶主视图，适合展示器体厚重、口沿开阔、组合感强与青铜材质特点。,Google Arts & Culture（湖北省博物馆）,https://artsandculture.google.com/asset/bronze-jian-and-fou/JwGDBvDfHx36Qg?hl=zh-cn,主图链接引自 Google Arts & Culture 的湖北省博物馆公开藏品页；正式展示前请再次确认图片来源与使用权限。,你现在看到的是曾侯乙铜鉴缶。它把礼仪场合中的生活器用做成了很有体量感的青铜器。看它时可以先感受器形分量，再想为什么古人会把与生活场景相关的器具也做得这样庄重。它适合把“礼制”延伸到“贵族生活方式”的层面。,"关联礼仪生活、贵族日常、秩序场景；适合连接青铜尊盘,曾侯乙编钟,铜鼎。"
jiangzuo_gu,https://lh3.googleusercontent.com/ci/AL18g_RnxUVEpJVrdVIVW69dg9avH7YRYrZyLsh3HJkA1ltM1dDoaC6KgD5sPV6chFFnoILP6pKIEj4,,,曾侯乙建鼓座主视图，适合展示支撑结构明显、适合陈设、强调场域感与木/青铜材质特点。,Google Arts & Culture（湖北省博物馆）,https://artsandculture.google.com/asset/bronze-jian-gu-base/eQFTW-dz3W1AlA?hl=zh-cn,主图链接引自 Google Arts & Culture 的湖北省博物馆公开藏品页；正式展示前请再次确认图片来源与使用权限。,你现在看到的是曾侯乙建鼓座。它把礼乐系统里的空间感和场域感补了出来。如果只看编钟和编磬，你容易把礼乐理解成“几件会发声的器物”。建鼓座则提醒你，礼乐还需要空间布置、陈设关系和正式场合的整体配置。,"关联仪式空间、礼乐场域、正式场合；适合连接曾侯乙编钟,曾侯乙编磬,青铜尊盘。"
gai_dou,https://img.cjyun.org.cn/a/10695/202404/3c7e2d725f1c9c300bfa5cc3d173dbc7.jpeg,,,曾侯乙青铜盖豆主视图，适合展示器身端正、盖与盘关系清楚、体量适中与青铜材质特点。,湖北省博物馆官网,https://hbsbwg.cjyun.org/qtq/p/5106.html,主图链接引自湖北省博物馆公开页面；正式展示前请再次确认图片来源与使用权限。,你现在看到的是曾侯乙青铜盖豆。它让礼器系统从宏大器物落到更细致的宴飨器用。看它时不妨留意“盖”和“豆”的组合关系，以及为什么这类器物能让礼仪生活显得更完整。它是理解礼器系统细部层级的好补充。,"关联宴飨秩序、礼仪细节、器用讲究；适合连接青铜尊盘,铜鼎,曾侯乙编钟。"
huzuo_niaojia_gu,https://img.cjyun.org/a/10695/202301/9ec9d807de2982637724582a7ce6dcc2.jpeg,,,虎座鸟架鼓主视图，适合展示立体组合、动物形支撑、视觉张力强与木/漆材质特点。,湖北省博物馆官网,https://m-www.hbkgy.com/p/6913.html,主图链接引自湖北省博物馆公开页面；正式展示前请再次确认图片来源与使用权限。,你现在看到的是虎座鸟架鼓。它让楚文化不只停留在文物名词，而是一下子有了神秘又鲜活的视觉形象。你可以先看它夸张的造型，再想为什么楚文化会喜欢把动物、乐器和仪式感组合在一起。它不是单纯好看，而是把楚地审美和想象力同时做了出来。,"关联通灵想象、楚地审美、礼乐与神话；适合连接楚式漆器,楚简,楚式玉佩。"
mu_diao_zuoping,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a4/%E5%BD%A9%E6%BC%86%E6%9C%A8%E9%9B%95%E5%B0%8F%E5%BA%A7%E5%B1%8F%EF%BC%8C2014-04-06_05.jpg/250px-%E5%BD%A9%E6%BC%86%E6%9C%A8%E9%9B%95%E5%B0%8F%E5%BA%A7%E5%B1%8F%EF%BC%8C2014-04-06_05.jpg,,,彩绘木雕小座屏主视图，适合展示体量适中、装饰感强、适合室内陈设与木/漆材质特点。,Wikimedia Commons,https://zh.wikipedia.org/wiki/%E5%BD%A9%E6%BC%86%E6%9C%A8%E9%9B%95%E5%B0%8F%E5%BA%A7%E5%B1%8F,主图链接引自 Wikimedia Commons 公开图片；正式展示前请再次确认图片来源、授权协议与使用方式。,你现在看到的是彩绘木雕小座屏。它把楚文化里的居住空间审美轻轻带了出来。如果说楚简偏向文字、玉佩偏向身体、漆器偏向生活器用，那么座屏更像把“空间本身”也纳入了审美。它适合帮助路线变得更有生活感。,"关联空间讲究、审美修饰、生活品位；适合连接楚式漆器,楚式玉佩,楚简。"
zhenmushou,https://commons.wikimedia.org/wiki/Special:Redirect/file/Mythical%20Guardian%20Figure%20with%20Antlers.jpg,,,楚式镇墓兽主视图，适合展示兽形夸张、立体感强、具有守护意味与木/漆材质特点。,Wikimedia Commons（同类公开图）,https://commons.wikimedia.org/wiki/File:Mythical_Guardian_Figure_with_Antlers.jpg,主图链接引自 Wikimedia Commons；当前先用楚式镇墓兽同类公开图暂代，正式展示前请再次核对是否为同一件文物、授权协议与使用方式。,你现在看到的是楚式镇墓兽。它让你看到楚文化并不只有审美细腻，也有很强的精神世界想象。镇墓兽常常不靠精致器形取胜，而靠气势和想象力抓住你。它适合和虎座鸟架鼓连看，理解楚文化为什么总带一点神秘与戏剧性。,"关联守护、通灵、死后世界想象；适合连接楚简,虎座鸟架鼓,楚式玉佩。"
fengwen_qihe,https://img.cjyun.org/a/10695/202301/7bedef1eaf729a75c246c0077e494ad8.jpeg,,,凤纹漆盒主视图，适合展示器形轻巧、开合明确、适合近看与木胎与漆层材质特点。,湖北省博物馆官网（同类漆盒图暂代）,https://m-www.hbkgy.com/p/5540.html,主图链接引自湖北省博物馆公开页面；当前先用同类漆奁/漆盒公开图暂代，正式展示前请再次核对是否为同一件文物及图片使用权限。,你现在看到的是凤纹漆盒。它把楚文化的纹样美感和生活器用合在了一起。看它时可以把重心放在表面纹样和器形关系上。它不像大器物那样靠体量，而是靠色彩、光泽和图案把人留住，是楚式生活美学的很直观例子。,"关联吉祥想象、精致生活、楚风装饰；适合连接楚式漆器,楚式玉佩,彩绘木雕小座屏。"
tong_mao,https://img.cjyun.org/a/10695/202301/9eb465bc96c7814da76840828d8224fa.jpeg,,,青铜矛主视图，适合展示矛身修长、尖锋明确、功能导向强与青铜材质特点。,湖北省博物馆官网,https://hbsbwg.cjyun.org/qtq/p/5502.html,主图链接引自湖北省博物馆公开页面；正式展示前请再次确认图片来源与使用权限。,你现在看到的是青铜矛。它让你把“名剑”重新放回更大的兵器系统里去理解。如果说越王勾践剑更像传奇中心，那么青铜矛更像常规武备的代表。它适合告诉观众：古代兵器文明不只有最闪耀的那一件。,"关联战争、武备、身份显示；适合连接越王勾践剑,青铜戈,铜鼎。"
tong_ji,https://img.cjyun.org/a/10695/202301/fd89857ab8c5e3fe087008be0595261c.jpeg,,,青铜戟主视图，适合展示构件关系明确、武器结构复杂、线条外伸与青铜材质特点。,湖北省博物馆官网（同类青铜兵器图暂代）,https://m-www.hbkgy.com/p/5490.html,主图链接引自湖北省博物馆公开页面；当前先用同类青铜兵器公开图暂代，正式展示前请再次核对是否为同一件文物及图片使用权限。,你现在看到的是青铜戟。它让兵器不只剩下单一锋线，而是出现更复杂的武器结构。看它时可以留意不同构件如何共同服务作战用途。它适合把兵器工艺从单件传奇推进到“结构设计”的层面。,"关联武备体系、权力显示、战场组织；适合连接青铜矛,越王勾践剑,青铜戈。"
jian_ge,https://img.cjyun.org/a/10695/202301/53f0b54ce72ae5488e2444f4f0b9965d.jpeg,,,剑格饰件主视图，适合展示体量较小、结构紧凑、细节导向与青铜/玉材质特点。,湖北省博物馆官网（相关剑器图暂代）,https://m-www.hbkgy.com/p/4694.html,主图链接引自湖北省博物馆公开页面；当前先用相关剑器公开图暂代，正式展示前请再次核对是否为同一件文物及图片使用权限。,你现在看到的是剑格饰件。它把兵器的精致感从整剑进一步压缩到细部构件里。很多人看兵器只看整体线条，但剑格这样的部件更适合细看。它说明古代兵器不是只求能打，还要兼顾身份与审美。,"关联身份讲究、兵器装饰、权力细节；适合连接越王勾践剑,青铜矛,青铜戈。"
jian_zu,https://img.cjyun.org/a/10695/202301/9eb465bc96c7814da76840828d8224fa.jpeg,,,青铜箭镞主视图，适合展示体量小、锋尖明确、重复性强与青铜材质特点。,湖北省博物馆官网（相关兵器图暂代）,https://hbsbwg.cjyun.org/qtq/p/5502.html,主图链接引自湖北省博物馆公开页面；当前先用相关兵器公开图暂代，正式展示前请再次核对是否为同一件文物及图片使用权限。,你现在看到的是青铜箭镞。它把兵器观看从传奇个体拉回到成批制造的战争现实。箭镞体量很小，却特别适合讲“系统”——战争不仅依靠名剑，也依靠大量标准化的武备。它能让兵器专题更完整。,"关联军备规模、远射能力、组织化战争；适合连接青铜矛,青铜戟,越王勾践剑。"
tong_gui,https://img.cjyun.org.cn/a/10695/202404/d0880990f516071adf629b36534974fe.jpeg,,,青铜簋主视图，适合展示腹部圆润、双耳明显、器身稳定与青铜材质特点。,湖北省博物馆官网,https://hbsbwg.cjyun.org/qtq/p/5107.html,主图链接引自湖北省博物馆公开页面；正式展示前请再次确认图片来源与使用权限。,你现在看到的是青铜簋。它让青铜礼器系统从鼎扩展到更完整的器类结构。如果鼎像礼器中的中轴，那么簋更像系统里的重要成员。它很适合说明礼器为什么总以“成套”方式被理解。,"关联祭祀秩序、分食制度、礼仪规范；适合连接铜鼎,青铜尊盘,青铜壶。"
tong_hu,https://img.cjyun.org.cn/a/10695/202404/b3ae4d813748e1356509701b92e00525.jpeg,,,青铜壶主视图，适合展示颈部明显、器腹饱满、提梁或耳部可能突出与青铜材质特点。,湖北省博物馆官网,https://hbsbwg.cjyun.org/qtq/p/5110.html,主图链接引自湖北省博物馆公开页面；正式展示前请再次确认图片来源与使用权限。,你现在看到的是青铜壶。它让宴飨场景不只停留在抽象礼仪，而出现更具体的酒器对象。壶这类器物很适合用来讲“礼仪和生活如何交叠”。它既不脱离场景，又带着明确的等级和规制意味。,"关联宴飨秩序、饮酒礼仪、器用讲究；适合连接青铜尊盘,青铜簋,铜鼎。"
tong_lei,https://img.cjyun.org/a/10695/202301/25375f765a36d7aa5a3c35b668283c0b.jpeg,,,青铜罍主视图，适合展示器身丰厚、颈部收束、体量感强与青铜材质特点。,湖北省博物馆官网,https://m-www.hbkgy.com/p/5519.html,主图链接引自湖北省博物馆公开页面；正式展示前请再次确认图片来源与使用权限。,你现在看到的是青铜罍。它把商周礼仪场合中的酒器分量直接压到你面前。罍比壶更厚重，也更适合建立“分量感”。它能帮你感受青铜器为什么不仅是器物，还是场合氛围的一部分。,"关联礼仪饮酒、秩序场合、权力分量；适合连接青铜壶,铜鼎,青铜尊盘。"
tong_yan,https://img.cjyun.org.cn/a/10695/202404/d0880990f516071adf629b36534974fe.jpeg,,,青铜甗主视图，适合展示上下分层、结构明确、器用逻辑强与青铜材质特点。,湖北省博物馆官网（同类青铜食器图暂代）,https://hbsbwg.cjyun.org/qtq/p/5107.html,主图链接引自湖北省博物馆公开页面；当前先用同类青铜食器公开图暂代，正式展示前请再次核对是否为同一件文物及图片使用权限。,你现在看到的是青铜甗。它把青铜器观看从庄重礼器扩展到更具体的饮食器用结构。甗很适合讲“结构和用途”。看它时可以先理解上下分层，再想为什么饮食器用也会进入礼制系统。它让青铜文明更接近日常场景。,"关联饮食秩序、礼制生活、器用分工；适合连接铜鼎,青铜簋,青铜壶。"
qi_erbei,https://img.cjyun.org/a/10695/202301/cd3f54353ff663d143048b778912a177.jpeg,,,彩绘漆耳杯主视图，适合展示双耳外伸、器身浅而轻巧与木胎与漆层材质特点。,湖北省博物馆官网,https://m-www.hbkgy.com/p/4986.html,主图链接引自湖北省博物馆公开页面；正式展示前请再次确认图片来源与使用权限。,你现在看到的是彩绘漆耳杯。它把楚地生活美学落到很具体、很可感的饮食动作里。耳杯并不靠大体量取胜，而是靠“拿在手里会是什么感觉”的想象。它很适合把漆木器展区变得更接近日常、更有人味。,"关联宴飨生活、细腻讲究、器用审美；适合连接楚式漆器,凤纹漆盒,漆木豆。"
qi_pan,https://img.cjyun.org.cn/a/10695/202301/79cc3ea214b08309b41259631f3a9ab8.jpeg,,,漆盘主视图，适合展示器面开阔、边缘收束、浅盘形与木胎与漆层材质特点。,湖北省博物馆官网,https://m-www.hbkgy.com/p/5467.html,主图链接引自湖北省博物馆公开页面；正式展示前请再次确认图片来源与使用权限。,你现在看到的是漆盘。它把生活器用的讲究落实到最日常、最基础的一类器具上。漆盘这类器物不一定最抢眼，却最适合讲“生活秩序”。它和耳杯、豆连看时，会让漆木器展区从单件观赏变成真实的生活场景。,"关联生活秩序、承放动作、日常讲究；适合连接漆木豆,彩绘漆耳杯,楚式漆器。"
qi_lian,https://img.cjyun.org/a/10695/202301/7bedef1eaf729a75c246c0077e494ad8.jpeg,,,漆奁主视图，适合展示器身规整、开合关系清晰、体量小巧与木胎与漆层材质特点。,湖北省博物馆官网,https://m-www.hbkgy.com/p/5540.html,主图链接引自湖北省博物馆公开页面；正式展示前请再次确认图片来源与使用权限。,你现在看到的是漆奁。它让楚地生活美学从公共场景进一步落到个人收纳和居室细节。奁这类器具常常和女性化、私密化、室内化的生活想象联系在一起。它能让路线里的生活感更完整、更细腻。,"关联收纳秩序、个人讲究、室内生活；适合连接凤纹漆盒,楚式玉佩,彩绘木雕小座屏。"
qi_shao,https://img.cjyun.org/a/10695/202301/4818ccaa77d825b0330149fc5c91662b.jpeg,,,漆勺主视图，适合展示柄部细长、勺面简洁、便于持握与木胎与漆层材质特点。,湖北省博物馆官网,https://m-www.hbkgy.com/p/5483.html,主图链接引自湖北省博物馆公开页面；正式展示前请再次确认图片来源与使用权限。,你现在看到的是漆勺。它把古代生活真正落到了“手里正在做什么”这种细节上。漆勺不会成为展厅里最闪亮的明星，但它会让你的路线更像真实生活。因为正是这些小器具，才把宏大的历史拉回到了可想象的日常动作。,"关联日常动作、细小讲究、生活温度；适合连接漆盘,漆木豆,彩绘漆耳杯。"
